mgw_verdict,cim_action,mgw_feature,mgw_verdict_category
sys_allow_ip,accepted,Local Good Sender IP List,Malware
sys_deny_ip,rejected,Local Bad Sender IP List,Malware
blockedlang,dropped,,
bulk,accepted,,
connection_class_0,,,
connection_class_1,,,
connection_class_1,,,
connection_class_2,,,
connection_class_3,,,
connection_class_4,,,
connection_class_5,,,
connection_class_6,,,
connection_class_7,,,
connection_class_8,,,
connection_class_9,,,
content_100,,,
content_1589195569816,,,
content_1590258763364,,,
content_1590263172175,,,
content_1590264669128,,,
content_1590265131754,,,
content_1590267664310,,,
content_1590270998702,,,
content_1611520645317,,,
content_200,,,
content_300,,,
content_400,,,
content_600,,,
content_700,,,
content_710,,,
content_720,,,
content_730,,,
content_740,,,
content_750,,,
content_760,,,
dns_allow,accepted,Third Party Good Sender List,Malware
dns_deny,rejected,Third Party Bad Sender List,Malware
dz_document,,,
dz_warm,,,
encrypted,,,
freq_dha,dropped,Directory Harvest Attack,Malware
freq_sa,dropped,Spam Attack,Malware
freq_va,dropped,Email Virus Attack,Malware
gray,,,
has_urls,,,
knownlang,,accepted,
newsletter,accepted,,
none,accepted,,
opl,dropped,Symantec Global Bad Sender List,Malware
safe,accepted,Symantec Global Good Sender List,Malware
senderauth_batv_fail,,,
senderauth_batv_sign,,,
spam,dropped,,
sys_allow_email,accepted,Local Good Sender Domains,Malware
sys_deny_email,dropped,Local Bad Sender Domains,Malware
unscannable_maxlimit,,,
unscannable_pmc,,,
user_allow,accepted,,
user_deny,rejected,,
virus,,,
